,Value,System,Privacy,Spam,Finance,Others,commentid,appid
199,学uc . 尼玛比的一个搞天气的，要这么多权限干你妈，五年天气通，卸,0,1,0,0,0,3865378,283
200,在小米应用商店下的这个游戏是最恶心的，数据权限、wifi权限都是开着的，硬是检测不出来，恶心到家，小米应用商店真他妈的恶心。其他的都没有这种 BUG就小米有，真他娘恶心、晦气。一星都他妈嫌,0,1,0,0,0,3929738,77915
201,更新太不及时了，都提示了好几天了小米这儿还没动静，每次一变更权限就老是说中毒什么的，如果真危险也就算了大部分时候危言耸,0,0,0,0,1,1322642,57
202,权限索取恶心死了，不敢用,0,1,0,0,0,4035905,448764
203,什么权限都要不给就不能,0,1,0,0,0,4612369,444975
204,垃圾，要求打电话权限否则进不去，我明明开启了权限还是进不去，垃圾平,0,1,0,0,0,4100487,73545
205,既然这么针对小米手机  你们为什么不在小米手机中下架这个垃圾软件  同样都是用户 你们凭什么 这么限制我们的权,0,0,0,0,0,4124264,71936
206,不能用其他字体管家软件，自己还没有安卓默认字体，估计是以为换个字体加个权限这个就不是安卓系统了,0,0,0,0,0,1856807,67811
207,你一个读书app为啥要我电话短信权,0,1,0,0,0,3783720,448764
208,一星解释，要手机权限是为了看看你是不是用的网易免流,0,0,0,0,0,4099197,448764
209,作为开发者我想不明白这种app一定需要电话权限的正当理由  除非你想...  算了一分滚,0,1,0,0,0,4647548,550049
210,越来越垃圾了，广告越来越多，一开始还要一大堆权限，不给权限就进不了游戏，辣鸡辣鸡辣,0,1,1,0,0,4575594,25940
211,不给权限就闪退,0,0,0,0,0,4621470,51733
212,你们俩人士大夫妻那些事实如此致癌只因此类别用过年会议精神状态机关门票票据报道敌军宵遁世上述职报告别再有什么意思念念不忘性侵权限于世上无难事儿媳妇的全盛时代性命交关键词句歌词曲剪辑！#！！！！！！！😂😆😈😐😠🎓👕🎩👟👓👗🎩👠👙👙🐭🐰🐈🐈🐱🐱🐣🐑🐦🐦🐑🐏🏪🏬🏪🏨🏧🏯🗽🗼:-[:-!:-*:-[:OO_o:,0,0,0,0,0,4501662,78233
213,登录完就卡住了，是这个版本的问题吗，权限已开，卸了重新装了还不好用，失望,0,0,0,0,0,4489352,122651
214,一直很喜欢的阅读软件，但是升级1.4不给电话权限就不让用了？？？一个阅读软件要我的通话记录干啥？？,0,1,0,0,0,4042153,448764
